name,region,hemisphere,tissue,Y
37365,2,left,white,LW
37366,2,left,white,LW
37367,2,left,white,LW
37368,2,left,white,LW
37370,2,left,gray,LG
37371,2,left,gray,LG
37372,2,left,gray,LG
37374,2,left,white,LW
37375,36,left,white,LW
37376,36,left,white,LW
37377,32,left,white,LW
37378,32,left,gray,LG
37379,32,left,gray,LG
37380,32,left,gray,LG
37381,32,left,gray,LG
37382,32,left,gray,LG
37383,32,left,gray,LG
37384,32,left,gray,LG
37385,32,left,gray,LG
37386,32,left,gray,LG
37392,67,right,gray,RG
37393,67,right,gray,RG
37394,67,right,gray,RG
37395,38,right,gray,RG
37396,38,right,gray,RG
37397,38,right,white,RW
37398,38,right,white,RW
37399,38,right,white,RW
37400,38,right,white,RW
37401,67,right,white,RW
37402,67,right,white,RW
37403,68,right,white,RW
37404,68,right,white,RW
37408,37,right,gray,RG
37409,37,right,white,RW
37410,37,right,white,RW
37411,37,right,white,RW
37412,37,right,white,RW
37413,2,left,white,LW
37414,2,left,white,LW
37415,2,left,white,LW
37416,2,left,white,LW
37417,2,left,white,LW
37418,2,left,white,LW
37423,32,left,white,LW
37424,32,left,white,LW
37425,32,left,white,LW
37426,32,left,gray,LG
37427,32,left,gray,LG
37428,32,left,white,LW
37429,32,left,white,LW
37430,32,left,white,LW
37431,32,left,white,LW
37432,32,left,white,LW
37433,32,left,gray,LG
37434,32,left,gray,LG
37441,67,right,gray,RG
37447,38,right,white,RW
37448,38,right,white,RW
37449,38,right,white,RW
37450,38,right,white,RW
37451,38,right,white,RW
37456,37,right,white,RW
37457,37,right,white,RW
37458,37,right,white,RW
37459,37,right,white,RW
37460,37,right,white,RW
37461,2,left,gray,LG
37462,2,left,white,LW
37463,2,left,white,LW
37464,2,left,white,LW
37465,2,left,white,LW
37466,2,left,white,LW
37467,2,left,white,LW
37472,32,left,white,LW
37473,32,left,white,LW
37474,32,left,white,LW
37475,32,left,white,LW
37476,32,left,white,LW
37477,32,left,white,LW
37478,3,left,white,LW
37479,3,left,white,LW
37480,3,left,white,LW
37481,3,left,gray,LG
37495,38,right,gray,RG
37496,38,right,white,RW
37497,38,right,white,RW
37498,38,right,white,RW
37499,38,right,white,RW
37503,47,right,white,RW
37504,47,right,white,RW
37505,37,right,white,RW
37506,37,right,white,RW
37507,37,right,white,RW
37511,2,left,gray,LG
37512,2,left,gray,LG
37513,2,left,white,LW
37514,2,left,white,LW
37515,2,left,white,LW
37519,32,left,white,LW
37520,32,left,white,LW
37521,32,left,white,LW
37522,32,left,white,LW
37523,32,left,white,LW
37524,3,left,white,LW
37525,3,left,white,LW
37526,3,left,gray,LG
37527,3,left,gray,LG
37528,3,left,gray,LG
37529,3,left,gray,LG
37535,52,right,gray,RG
37541,38,right,gray,RG
37542,38,right,gray,RG
37543,38,right,white,RW
37544,38,right,white,RW
37545,38,right,white,RW
37546,38,right,white,RW
37547,47,right,white,RW
37549,47,right,white,RW
37550,47,right,white,RW
37551,47,right,white,RW
37552,47,right,white,RW
37553,47,right,white,RW
37554,47,right,gray,RG
37555,37,right,gray,RG
37559,2,left,gray,LG
37560,2,left,white,LW
37561,2,left,white,LW
37562,2,left,white,LW
37563,12,left,white,LW
37566,3,left,white,LW
37567,3,left,white,LW
37568,3,left,white,LW
37569,3,left,white,LW
37570,3,left,white,LW
37571,3,left,white,LW
37572,3,left,white,LW
37573,3,left,gray,LG
37574,3,left,gray,LG
37575,3,left,gray,LG
37581,52,right,gray,RG
37586,38,right,gray,RG
37587,38,right,gray,RG
37588,38,right,gray,RG
37589,38,right,white,RW
37590,38,right,white,RW
37591,45,right,white,RW
37592,62,right,white,RW
37593,47,right,white,RW
37594,47,right,white,RW
37595,47,right,white,RW
37596,47,right,white,RW
37597,47,right,white,RW
37598,47,right,white,RW
37599,47,right,white,RW
37600,47,right,white,RW
37601,47,right,gray,RG
37605,12,left,gray,LG
37606,12,left,white,LW
37607,12,left,white,LW
37608,12,left,white,LW
37609,12,left,white,LW
37610,12,left,white,LW
37611,3,left,white,LW
37612,3,left,white,LW
37613,3,left,white,LW
37614,3,left,white,LW
37617,3,left,white,LW
37618,3,left,white,LW
37619,3,left,white,LW
37620,3,left,gray,LG
37621,3,left,gray,LG
37627,52,right,gray,RG
37630,38,right,gray,RG
37631,38,right,gray,RG
37632,45,right,gray,RG
37633,45,right,white,RW
37634,45,right,white,RW
